"","etatID","individuID","connaisance","effetTemps","age","loi","consParSem","region"
"1",1,1,-1.31426994338195,2009,18.2670689725783,0,13,"region1"
"2",1,2,2.29218184923131,2009,22.0556525604334,0,6,"region1"
"3",1,3,0.785883874178636,2009,20.1472164327279,0,15,"region1"
"4",1,4,2.32021379033534,2009,23.4690330873709,0,4,"region1"
"5",1,5,-2.44313737462636,2009,21.8726369400974,0,14,"region1"
"6",1,6,-1.31535170722383,2009,17.9594204556197,0,2,"region1"
"7",1,7,-2.16066465064823,2009,21.7609249106608,0,10,"region1"
"8",1,8,0.692833596757898,2009,17.7642130281311,0,9,"region1"
"9",1,9,-3.4731883871995,2009,23.8178399801254,0,9,"region1"
"10",1,10,0.741227978186466,2009,20.908687856514,0,9,"region1"
"11",1,11,-0.273340684418473,2009,16.7318399732467,0,6,"region1"
"12",1,12,5.27212686608415,2009,22.7661166102625,0,15,"region1"
"13",1,13,-0.413788835193439,2009,16.9251847616397,0,10,"region1"
"14",1,14,-0.333580485847285,2009,18.0655588756781,0,20,"region1"
"15",1,15,-2.07004296170825,2009,16.9935420129914,0,7,"region1"
"16",1,16,-0.66538269005908,2009,19.882359266514,0,16,"region1"
"17",1,17,0.548723050784091,2009,18.5876804422587,0,5,"region1"
"18",1,18,1.25196985868025,2009,18.5702594968025,0,9,"region1"
"19",1,19,3.19620698113664,2009,20.3810087968595,0,14,"region1"
"20",1,20,2.91060605202163,2009,22.9090184913948,0,5,"region1"
"21",1,21,-0.304887715384897,2011,23.6872985144146,0,14,"region1"
"22",1,22,4.20961046567462,2011,17.4231623294763,0,5,"region1"
"23",1,23,-5.33032689688393,2011,19.9359460915439,0,12,"region1"
"24",1,24,1.86860217297303,2011,18.2682083121035,0,6,"region1"
"25",1,25,-1.56685005383102,2011,16.4112473712303,0,15,"region1"
"26",1,26,3.96669286705409,2011,16.8105510647874,0,12,"region1"
"27",1,27,-1.09032098053397,2011,19.9991060306784,0,11,"region1"
"28",1,28,3.95719722770641,2011,23.7063728824724,0,3,"region1"
"29",1,29,0.131337202932892,2011,21.550497820368,0,5,"region1"
"30",1,30,-5.63596764601857,2011,18.3397240301128,0,6,"region1"
"31",1,31,-1.34118654605894,2011,17.7239890438505,0,6,"region1"
"32",1,32,-5.21579384162369,2011,24.2139909360558,0,9,"region1"
"33",1,33,0.536594545881458,2011,18.3745190012269,0,15,"region1"
"34",1,34,5.69239710043863,2011,23.3144540039357,0,9,"region1"
"35",1,35,-6.81577645805789,2011,19.0347354484256,0,11,"region1"
"36",1,36,2.94139241620382,2011,16.2368619344197,0,3,"region1"
"37",1,37,-4.19647684887734,2011,18.2448114468716,0,0,"region1"
"38",1,38,5.47461726883075,2011,18.5231742144097,0,6,"region1"
"39",1,39,4.14389618978649,2011,24.1965493836906,0,10,"region1"
"40",1,40,-2.51655562510306,2011,21.8937443303876,0,9,"region1"
"41",1,41,-0.785987323542092,2010,21.2287678339053,0,21,"region1"
"42",1,42,-0.206532084051069,2010,23.1030264643487,0,6,"region1"
"43",1,43,-1.13665066959032,2010,18.8817513301037,0,1,"region1"
"44",1,44,7.74587678317299,2010,24.4777277100366,0,10,"region1"
"45",1,45,0.389502412036758,2010,24.6570354111027,0,10,"region1"
"46",1,46,-2.13907494064906,2010,24.7601093885023,0,6,"region1"
"47",1,47,1.91398272875848,2010,20.5986330711748,0,2,"region1"
"48",1,48,0.60507477484775,2010,24.0942877363414,0,5,"region1"
"49",1,49,-0.20975084472061,2010,18.7944780951366,0,7,"region1"
"50",1,50,-0.277469626208235,2010,18.4357993341982,0,2,"region1"
"51",1,51,1.34670981933413,2010,16.5199569296092,0,12,"region1"
"52",1,52,-3.1930670120621,2010,21.3108277283609,0,13,"region1"
"53",1,53,-3.48725796642668,2010,19.5769502620678,0,10,"region1"
"54",1,54,4.94556524011336,2010,20.9370960479137,0,2,"region1"
"55",1,55,-6.18628805801975,2010,19.8232094771229,0,10,"region1"
"56",1,56,0.0382491628949059,2010,19.4538537934422,0,13,"region1"
"57",1,57,-3.26258504793128,2010,16.8588942131028,0,10,"region1"
"58",1,58,0.811618479613023,2010,24.6667850061785,0,17,"region1"
"59",1,59,3.02535561981821,2010,19.1611680213828,0,0,"region1"
"60",1,60,-6.22321426276933,2010,20.8317883100826,0,10,"region1"
"61",1,61,2.69046681535683,2012,23.0509632870089,0,3,"region1"
"62",1,62,-0.149987300628134,2012,20.0980094245169,0,6,"region1"
"63",1,63,-4.03604793133012,2012,22.3354441700503,0,24,"region1"
"64",1,64,-5.79363460304922,2012,22.9208586546592,0,11,"region1"
"65",1,65,2.12874475043127,2012,17.4410014941823,0,4,"region1"
"66",1,66,-0.473715095748936,2012,17.0083731557243,0,16,"region1"
"67",1,67,0.649103618125478,2012,22.0688817538321,0,12,"region1"
"68",1,68,2.45208622732576,2012,24.479358203942,0,2,"region1"
"69",1,69,5.18152726350974,2012,18.8207687768154,0,13,"region1"
"70",1,70,-0.311310877389825,2012,16.3307543771807,0,16,"region1"
"71",1,71,-1.6713668724729,2012,19.0440513847861,0,2,"region1"
"72",1,72,4.28490428962938,2012,21.0632142596878,0,11,"region1"
"73",1,73,-2.67887220630042,2012,21.3675600783899,0,6,"region1"
"74",1,74,-3.47271372021802,2012,20.634348863503,0,15,"region1"
"75",1,75,-1.59088936478717,2012,19.0268853099551,0,12,"region1"
"76",1,76,7.33704827300049,2012,18.5615514181554,0,5,"region1"
"77",1,77,-2.49748739399224,2012,16.625290571712,0,6,"region1"
"78",1,78,1.2405595464897,2012,21.482349263737,0,8,"region1"
"79",1,79,-3.53604942217388,2012,20.5503378987778,0,0,"region1"
"80",1,80,-3.52210427540767,2012,18.6302886945195,0,10,"region1"
"81",1,81,-0.998770052923542,2009,24.8981504908297,0,8,"region1"
"82",1,82,4.08934112076749,2009,16.4692173239309,0,9,"region1"
"83",1,83,-1.40744201872911,2009,18.721260804683,0,7,"region1"
"84",1,84,2.52862689640975,2009,17.5756347368006,0,7,"region1"
"85",1,85,-4.37398116762626,2009,20.3737654159777,0,0,"region1"
"86",1,86,-1.20091776014676,2009,24.6151716646273,0,3,"region1"
"87",1,87,-2.32925185600895,2009,19.0661526257172,0,1,"region1"
"88",1,88,-1.10788953390303,2009,18.8137341116089,0,17,"region1"
"89",1,89,3.72030437585037,2009,22.1462584987748,0,11,"region1"
"90",1,90,-0.322301425019944,2009,24.0850690091029,0,5,"region1"
"91",1,91,0.517780518672601,2009,20.3481682843994,0,7,"region1"
"92",1,92,0.763803804745866,2009,24.0871450912673,0,1,"region1"
"93",1,93,-1.84360148698327,2009,21.53956373455,0,10,"region1"
